username,total_commits,total_additions,total_deletions,total_pull_requests,total_issues,first_contribution,last_contribution,contribution_span_days,avg_commits_per_day,label,avg_additions_per_commit,avg_deletions_per_commit,additions_deletions_ratio,code_changes,code_changes_per_commit
peppy,100,36729,16860,1000,677,2024-11-11 03:11:38,2024-11-27 04:13:47,16.0,6.25,1,367.29,168.6,2.17834054919637,53589,535.89
smoogipoo,100,4558,3855,1000,399,2024-10-23 07:21:28,2024-11-26 12:35:10,34.0,2.9411764705882355,1,45.58,38.55,1.1820539419087137,8413,84.13
bdach,100,29013,10629,865,173,2024-11-01 10:26:59,2024-11-26 13:57:42,25.0,4.0,1,290.13,106.29,2.7293508936970836,39642,396.42
frenzibyte,100,67498,20572,697,126,2024-07-28 03:21:21,2024-11-26 06:28:58,121.0,0.8264462809917356,0,674.98,205.72,3.2809021533077334,88070,880.7
EVAST9919,100,9316,4804,409,47,2024-01-29 01:55:21,2024-09-28 19:37:16,243.0,0.411522633744856,0,93.16,48.04,1.9388137356919874,14120,141.2
Joehuu,100,3786,1642,391,111,2024-01-22 02:32:07,2024-11-26 20:54:17,309.0,0.32362459546925565,0,37.86,16.42,2.304321363359708,5428,54.28
DrabWeb,100,20640,11641,55,2,2018-05-15 23:34:14,2019-04-13 14:39:22,332.0,0.30120481927710846,0,206.4,116.41,1.7728912557979728,32281,322.81
ekrctb,100,6480,3625,151,18,2021-06-15 10:41:37,2023-02-09 08:43:04,603.0,0.16583747927031509,0,64.8,36.25,1.7870932156646442,10105,101.05
huoyaoyuan,100,3844,2057,85,7,2019-11-19 12:34:35,2024-03-05 12:44:32,1568.0,0.06377551020408163,0,38.44,20.57,1.8678328474246841,5901,59.01
OliBomby,100,65436,19274,73,29,2023-12-31 01:55:47,2024-11-13 13:23:28,318.0,0.31446540880503143,0,654.36,192.74,3.394863813229572,84710,847.1
Tom94,100,10258,5138,85,4,2017-07-11 13:58:06,2023-11-14 07:52:45,2316.0,0.04317789291882556,0,102.58,51.38,1.9961081922553026,15396,153.96
Game4all,100,6781,2578,71,5,2021-05-05 18:27:28,2021-11-08 20:42:51,187.0,0.5347593582887701,0,67.81,25.78,2.629313687475766,9359,93.59
nyquillerium,100,52992,15763,49,23,2019-06-26 08:53:35,2019-08-14 03:51:43,48.0,2.0833333333333335,1,529.92,157.63,3.361583354478559,68755,687.55
jorolf,100,62436,33537,67,8,2017-11-19 13:17:14,2020-07-22 20:10:59,976.0,0.10245901639344263,0,624.36,335.37,1.8616494722404437,95973,959.73
gagahpangeran,100,2855,783,29,14,2021-06-04 03:53:48,2021-10-12 02:43:32,129.0,0.7751937984496124,0,28.55,7.83,3.641581632653061,3638,36.38
cdwcgt,100,12785,5429,47,28,2023-04-03 11:24:38,2024-11-05 07:47:25,581.0,0.1721170395869191,0,127.85,54.29,2.35451197053407,18214,182.14
Aergwyn,100,11074,6386,74,31,2018-01-06 09:54:53,2019-08-11 14:41:56,582.0,0.1718213058419244,0,110.74,63.86,1.7338343510255205,17460,174.6
UselessToucan,100,60631,29039,88,8,2018-06-02 09:28:16,2021-03-14 18:43:27,1016.0,0.0984251968503937,0,606.31,290.39,2.08784435261708,89670,896.7
ddevault,100,5845,3245,34,3,2016-11-09 05:17:48,2017-03-22 10:50:48,133.0,0.7518796992481203,0,58.45,32.45,1.8006777572396797,9090,90.9
mk56-spn,100,25095,10837,35,5,2023-01-10 16:49:33,2023-03-05 19:57:26,54.0,1.8518518518518519,1,250.95,108.37,2.3154641077689613,35932,359.32
miterosan,100,17829,9623,24,2,2018-08-03 22:30:46,2019-10-20 20:29:29,442.0,0.22624434389140272,0,178.29,96.23,1.8525561097256857,27452,274.52
Craftplacer,100,22095,8348,0,0,2020-04-22 13:21:54,2021-05-27 19:59:51,400.0,0.25,0,220.95,83.48,2.6464247215235357,30443,304.43
Naxesss,100,6880,1050,14,0,2021-04-20 11:34:12,2021-11-10 05:18:40,203.0,0.49261083743842365,0,68.8,10.5,6.546146527117031,7930,79.3
hlysine,100,40873,12023,36,9,2021-08-30 09:49:18,2022-06-07 04:05:03,280.0,0.35714285714285715,0,408.73,120.23,3.399284763805722,52896,528.96
nekodex,100,6249,1578,84,9,2021-10-06 08:32:28,2024-10-25 16:45:51,1115.0,0.08968609865470852,0,62.49,15.78,3.9575680810639646,7827,78.27
Susko3,100,2814,1333,73,29,2023-02-03 17:57:50,2024-05-23 12:24:42,474.0,0.2109704641350211,0,28.14,13.33,2.1094452773613193,4147,41.47
MiraiSubject,100,53798,17944,21,7,2020-06-11 13:13:19,2022-02-25 14:13:32,624.0,0.16025641025641027,0,537.98,179.44,2.997938144329897,71742,717.42
LeNitrous,100,36668,16773,40,23,2019-12-15 09:02:29,2024-01-25 02:35:41,1501.0,0.06662225183211193,0,366.68,167.73,2.18600214617861,53441,534.41
Feodor0090,100,1101,342,30,1,2022-11-29 04:01:52,2023-01-18 18:27:42,50.0,2.0,1,11.01,3.42,3.2099125364431487,1443,14.43
nbvdkamp,20,1156,226,12,8,2020-11-06 23:35:26,2021-05-24 19:36:42,198.0,0.10101010101010101,0,57.8,11.3,5.092511013215859,1382,69.1
Cwazywierdo,21,302,145,7,0,2022-07-08 02:57:18,2023-02-18 23:31:18,225.0,0.09333333333333334,0,14.380952380952381,6.904761904761905,2.0684931506849313,447,21.285714285714285
ILW8,19,451,202,6,7,2023-07-16 21:35:20,2023-07-27 21:43:05,11.0,1.7272727272727273,1,23.736842105263158,10.631578947368421,2.2216748768472905,653,34.36842105263158
kOchirasu,19,848,491,4,2,2017-02-23 08:50:09,2020-03-12 10:55:45,1113.0,0.017070979335130278,0,44.63157894736842,25.842105263157894,1.7235772357723578,1339,70.47368421052632
RatinFX,19,1213,644,1,11,2023-11-04 01:01:18,2023-11-12 14:09:15,8.0,2.375,1,63.8421052631579,33.89473684210526,1.8806201550387598,1857,97.73684210526316
alikindsys,14,125,90,1,1,2019-04-03 19:58:44,2019-04-04 21:04:49,1.0,14.0,1,8.928571428571429,6.428571428571429,1.3736263736263736,215,15.357142857142858
molneya,18,1838,1732,5,1,2022-04-21 15:03:28,2022-08-16 03:03:18,116.0,0.15517241379310345,0,102.11111111111111,96.22222222222223,1.0605885747259087,3570,198.33333333333334
emu1337,18,110030,39581,2,0,2021-06-13 13:18:35,2022-06-20 02:19:07,371.0,0.04851752021563342,0,6112.777777777777,2198.9444444444443,2.7797988984892124,149611,8311.722222222223
C0D3-M4513R,18,7648,3282,3,1,2022-11-01 19:46:32,2022-11-23 20:02:43,22.0,0.8181818181818182,0,424.8888888888889,182.33333333333334,2.329576606762108,10930,607.2222222222222
santerinogelainen,17,5999,1814,6,3,2017-11-27 11:39:01,2020-04-04 19:42:13,859.0,0.01979045401629802,0,352.88235294117646,106.70588235294117,3.3052341597796144,7813,459.5882352941176
solstice23,17,2761,655,1,1,2022-07-21 10:24:31,2022-09-09 15:12:37,50.0,0.34,0,162.41176470588235,38.529411764705884,4.208841463414634,3416,200.94117647058823
frankhjwx,16,816,171,6,2,2018-05-21 01:49:23,2018-05-23 05:47:33,2.0,8.0,1,51.0,10.6875,4.744186046511628,987,61.6875
aQaTL,16,212,138,3,1,2018-01-15 15:04:57,2018-04-18 13:06:03,92.0,0.17391304347826086,0,13.25,8.625,1.525179856115108,350,21.875
AbstractQbit,16,241,158,3,0,2021-09-13 10:31:13,2021-09-15 22:30:53,2.0,8.0,1,15.0625,9.875,1.5157232704402517,399,24.9375
thomastanck,16,2822,1130,5,1,2017-04-21 15:24:09,2018-01-29 08:30:46,282.0,0.05673758865248227,0,176.375,70.625,2.495137046861185,3952,247.0
acid-chicken,16,300,158,3,0,2022-09-04 16:58:57,2022-09-12 07:25:29,7.0,2.2857142857142856,1,18.75,9.875,1.8867924528301887,458,28.625
Darius-Wattimena,16,448,81,6,0,2021-11-09 22:05:25,2024-11-19 18:54:12,1105.0,0.014479638009049774,0,28.0,5.0625,5.463414634146342,529,33.0625
Joppe27,16,357,106,8,36,2022-10-18 21:40:43,2024-06-13 16:06:19,603.0,0.026533996683250415,0,22.3125,6.625,3.336448598130841,463,28.9375
RedMindZ,15,4197,1970,2,0,2019-05-10 16:12:32,2019-06-05 12:56:30,25.0,0.6,0,279.8,131.33333333333334,2.1293759512937593,6167,411.1333333333333
johnneijzen,15,116,152,7,2,2017-06-07 11:53:37,2018-07-05 14:38:34,393.0,0.03816793893129771,0,7.733333333333333,10.133333333333333,0.7581699346405228,268,17.866666666666667
naoei,17,2052,1010,5,11,2018-12-19 00:44:31,2022-08-21 01:48:53,1341.0,0.01267710663683818,0,120.70588235294117,59.411764705882355,2.029673590504451,3062,180.11764705882354
Cai1Hsu,15,1457,381,5,2,2024-07-25 10:23:01,2024-08-02 11:07:27,8.0,1.875,1,97.13333333333334,25.4,3.8141361256544504,1838,122.53333333333333
Mogiiii,15,11514,5035,7,1,2022-12-05 20:12:50,2023-01-13 15:16:52,38.0,0.39473684210526316,0,767.6,335.6666666666667,2.2863383637807786,16549,1103.2666666666667
Poyo-SSB,15,380,73,7,2,2018-02-26 07:52:38,2023-11-21 23:19:04,2094.0,0.0071633237822349575,0,25.333333333333332,4.866666666666666,5.135135135135135,453,30.2
dekrain,15,466,166,4,1,2021-12-20 15:51:51,2022-02-19 20:23:35,61.0,0.2459016393442623,0,31.066666666666666,11.066666666666666,2.7904191616766467,632,42.13333333333333
angelaz1,14,2269,1491,2,0,2020-12-13 00:02:08,2020-12-20 21:10:26,7.0,2.0,1,162.07142857142858,106.5,1.5207774798927614,3760,268.57142857142856
dtsdao,14,1180,409,0,0,2019-07-24 12:49:35,2020-01-01 06:41:17,160.0,0.0875,0,84.28571428571429,29.214285714285715,2.8780487804878048,1589,113.5
Firmatorenio,14,171,83,4,12,2020-12-10 14:11:08,2021-05-24 10:49:58,164.0,0.08536585365853659,0,12.214285714285714,5.928571428571429,2.0357142857142856,254,18.142857142857142
maromalo,15,3949,1558,7,1,2022-04-23 03:17:00,2024-02-18 22:59:56,666.0,0.02252252252252252,0,263.26666666666665,103.86666666666666,2.5330339961513793,5507,367.1333333333333
jhk2601,14,633,191,4,0,2024-10-11 22:38:53,2024-11-14 19:12:21,33.0,0.42424242424242425,0,45.214285714285715,13.642857142857142,3.296875,824,58.857142857142854
myQwil,14,72,45,5,0,2024-01-24 13:01:41,2024-02-19 03:16:54,25.0,0.56,0,5.142857142857143,3.2142857142857144,1.565217391304348,117,8.357142857142858
aitani9,13,79,64,6,1,2021-06-21 20:42:15,2021-07-22 21:07:41,31.0,0.41935483870967744,0,6.076923076923077,4.923076923076923,1.2153846153846153,143,11.0
JimmyC7834,13,646,386,1,1,2021-06-19 12:54:24,2021-06-24 05:45:38,4.0,3.25,1,49.69230769230769,29.692307692307693,1.669250645994832,1032,79.38461538461539
o-dasher,13,106,270,18,1,2022-08-25 00:59:32,2022-09-27 13:25:58,33.0,0.3939393939393939,0,8.153846153846153,20.76923076923077,0.39114391143911437,376,28.923076923076923
Zyfarok,14,19688,6698,3,6,2023-07-08 15:54:23,2023-11-24 22:07:27,139.0,0.10071942446043165,0,1406.2857142857142,478.42857142857144,2.9389461113599045,26386,1884.7142857142858
M0RGaming,12,582,337,1,1,2021-11-04 04:22:44,2021-11-08 14:25:02,4.0,3.0,1,48.5,28.083333333333332,1.7218934911242603,919,76.58333333333333
424ever,12,198,59,3,7,2024-05-03 14:57:31,2024-10-14 14:55:07,163.0,0.0736196319018405,0,16.5,4.916666666666667,3.3,257,21.416666666666668
joshika39,12,562,347,2,0,2023-11-02 08:16:25,2023-11-10 10:45:31,8.0,1.5,1,46.833333333333336,28.916666666666668,1.6149425287356323,909,75.75
khang06,12,184,114,1,3,2022-08-23 01:04:26,2022-08-24 07:37:33,1.0,12.0,1,15.333333333333334,9.5,1.6,298,24.833333333333332
itsMapleLeaf,12,1905,764,2,0,2023-01-23 07:01:45,2023-02-02 01:22:28,9.0,1.3333333333333333,1,158.75,63.666666666666664,2.4901960784313726,2669,222.41666666666666
paring-chan,12,1320,616,1,0,2021-12-27 10:41:36,2022-01-07 06:57:30,10.0,1.2,1,110.0,51.333333333333336,2.139384116693679,1936,161.33333333333334
owen-young,11,1669,665,1,0,2021-03-22 02:50:19,2021-03-24 00:44:22,1.0,11.0,1,151.72727272727272,60.45454545454545,2.506006006006006,2334,212.1818181818182
Elvendir,11,270,89,1,0,2023-03-18 16:53:41,2023-04-06 22:29:46,19.0,0.5789473684210527,0,24.545454545454547,8.090909090909092,3.0,359,32.63636363636363
nwabear,11,500,272,3,2,2019-01-17 20:40:22,2019-10-28 13:57:35,283.0,0.038869257950530034,0,45.45454545454545,24.727272727272727,1.8315018315018314,772,70.18181818181819
jaswon,11,340,68,6,0,2021-10-14 22:30:55,2021-11-04 21:10:41,20.0,0.55,0,30.90909090909091,6.181818181818182,4.927536231884058,408,37.09090909090909
Layendan,11,664,151,1,3,2024-07-17 19:45:20,2024-08-19 14:58:20,32.0,0.34375,0,60.36363636363637,13.727272727272727,4.368421052631579,815,74.0909090909091
LukynkaCZE,11,9172,4735,4,4,2022-07-19 19:38:23,2022-08-06 05:16:34,17.0,0.6470588235294118,0,833.8181818181819,430.45454545454544,1.9366554054054055,13907,1264.2727272727273
revam,11,1014,227,1,0,2017-02-28 13:35:42,2017-03-02 14:37:45,2.0,5.5,1,92.18181818181819,20.636363636363637,4.447368421052632,1241,112.81818181818181
NotGumballer91,11,109,17,3,1,2022-07-17 16:09:31,2022-10-11 08:16:57,85.0,0.12941176470588237,0,9.909090909090908,1.5454545454545454,6.055555555555555,126,11.454545454545455
vruss,11,195,118,5,14,2019-12-28 23:19:51,2020-06-24 09:29:38,178.0,0.06179775280898876,0,17.727272727272727,10.727272727272727,1.638655462184874,313,28.454545454545453
fluxie31,5,588,231,2,1,2021-10-25 03:27:11,2021-10-26 03:19:00,1.0,5.0,1,117.6,46.2,2.5344827586206895,819,163.8
bastianpedersen,10,318,291,4,0,2022-08-13 19:32:24,2023-06-28 19:11:56,318.0,0.031446540880503145,0,31.8,29.1,1.0890410958904109,609,60.9
JackLee9355,10,13149,2716,3,3,2019-05-22 02:48:09,2019-06-29 16:55:10,38.0,0.2631578947368421,0,1314.9,271.6,4.839528892160471,15865,1586.5
Hiviexd,10,64,33,3,6,2024-02-23 10:27:12,2024-11-14 14:38:10,265.0,0.03773584905660377,0,6.4,3.3,1.8823529411764706,97,9.7
NiceAesth,10,437,31,3,7,2023-07-10 14:29:49,2023-09-27 13:29:29,78.0,0.1282051282051282,0,43.7,3.1,13.65625,468,46.8
RemieRichards,10,360,1285,3,0,2016-09-17 20:33:46,2016-09-19 00:57:15,1.0,10.0,1,36.0,128.5,0.27993779160186627,1645,164.5
Spooghetti420,11,891,417,1,1,2022-01-27 11:35:31,2022-02-01 13:36:36,5.0,2.2,1,81.0,37.90909090909091,2.1315789473684212,1308,118.9090909090909
TPGPL,10,83,33,1,17,2018-10-19 17:27:24,2018-11-01 17:08:12,12.0,0.8333333333333334,0,8.3,3.3,2.4411764705882355,116,11.6
